Symbol,Name,Market Cap,Country,Sector
ALLR,Allarity Therapeutics Inc. Common Stock,160198778,United States,Health Care
ALLY,Ally Financial Inc. Common Stock,10014564827,United States,Finance
ALMS,Alumis Inc. Common Stock,594628091,United States,Health Care
ALNT,Allient Inc. Common Stock,317680348,United States,Industrials
ALNY,Alnylam Pharmaceuticals Inc. Common Stock,33624140160,United States,Health Care
ALOT,AstroNova Inc. Common Stock,112402917,United States,Technology
ALPP,Alpine 4 Holdings Inc. Class A Common Stock,10559765,United States,Telecommunications
ALRM,Alarm.com Holdings Inc. Common Stock,2670267225,United States,Technology
ALRN,Aileron Therapeutics Inc. Common Stock,62397501,United States,Health Care
ALRS,Alerus Financial Corporation Common Stock,416124828,United States,Finance
ALSA,Alpha Star Acquisition Corporation Ordinary Shares,0,United States,Finance
ALSN,Allison Transmission Holdings Inc. Common Stock,7506928448,United States,Consumer Discretionary
ALT,Altimmune Inc. Common Stock,509578719,United States,Health Care
ALTG,Alta Equipment Group Inc. Class A Common Stock,197562458,United States,Industrials
ALTI,AlTi Global Inc. Class A Common Stock,584472078,United States,Finance
ALTM,Arcadium Lithium plc Ordinary Shares,2806789401,United States,Industrials
ALTO,Alto Ingredients Inc. Common Stock,107081891,United States,Industrials
ALTR,Altair Engineering Inc. Class A Common Stock,7268804535,United States,Technology
ALTS,ALT5 Sigma Corporation Common Stock,29624115,United States,Consumer Discretionary
ALUR,Allurion Technologies Inc. Common Stock,39896075,United States,Health Care
ALVR,AlloVir Inc. Common Stock,87262299,United States,Health Care
ALX,Alexander's Inc. Common Stock,1161244527,United States,Real Estate
ALXO,ALX Oncology Holdings Inc. Common Stock,114824502,United States,Health Care
ALZN,Alzamend Neuro Inc. Common Stock,1707717,United States,Health Care
AM,Antero Midstream Corporation Common Stock,6877219690,United States,Utilities
AMAL,Amalgamated Financial Corp. Common Stock (DE),919001444,United States,Finance
AMAT,Applied Materials Inc. Common Stock,1.53E+11,United States,Technology
AMBA,Ambarella Inc. Ordinary Shares,2162370793,United States,Technology
AMBC,Ambac Financial Group Inc. Common Stock,505721007,United States,Finance
AMC,AMC Entertainment Holdings Inc. Class A Common Stock,1788707027,United States,Consumer Discretionary
AMCX,AMC Networks Inc. Class A Common Stock,351903006,United States,Telecommunications
AMD,Advanced Micro Devices Inc. Common Stock,2.43E+11,United States,Technology
AME,AMETEK Inc.,38263633576,United States,Industrials
AMED,Amedisys Inc Common Stock,3166669284,United States,Health Care
AMG,Affiliated Managers Group Inc. Common Stock,4919900834,United States,Finance
AMGN,Amgen Inc. Common Stock,1.77E+11,United States,Health Care
AMH,American Homes 4 Rent Common Shares of Beneficial Interest,14696617319,United States,Real Estate
AMIX,Autonomix Medical Inc. Common Stock,19726526,United States,Health Care
AMKR,Amkor Technology Inc. Common Stock,7421241831,United States,Technology
AMLX,Amylyx Pharmaceuticals Inc. Common Stock,174971943,United States,Health Care
AMN,AMN Healthcare Services Inc,1634461289,United States,Consumer Discretionary
AMP,Ameriprise Financial Inc. Common Stock,42787672804,United States,Finance
AMPG,Amplitech Group Inc. Common Stock,7775690,United States,Telecommunications
AMPH,Amphastar Pharmaceuticals Inc. Common Stock,2193819298,United States,Health Care
AMPL,Amplitude Inc. Class A Common Stock,1057637571,United States,Technology
AMPS,Altus Power Inc. Class A Common Stock,532204440,United States,Utilities
AMPX,Amprius Technologies Inc. Common Stock,97869675,United States,Miscellaneous
AMPY,Amplify Energy Corp. Common Stock,249186102,United States,Energy
AMR,Alpha Metallurgical Resources Inc. Common Stock,2510528009,United States,Energy
AMRC,Ameresco Inc. Class A Common Stock,1742907649,United States,Consumer Discretionary
AMRK,A-Mark Precious Metals Inc. Common Stock,1010348142,United States,Industrials
AMRX,Amneal Pharmaceuticals Inc. Class A Common Stock,2587776203,United States,Health Care
AMS,American Shared Hospital Services Common Stock,19270800,United States,Health Care
AMSC,American Superconductor Corporation Common Stock,839826039,United States,Consumer Discretionary
AMSF,AMERISAFE Inc. Common Stock,900023099,United States,Finance
AMST,Amesite Inc. Common Stock,6127280,United States,Technology
AMSWA,American Software Inc. Class A Common Stock,362844085,United States,Technology
AMT,American Tower Corporation (REIT) Common Stock,1.12E+11,United States,Real Estate
AMTB,Amerant Bancorp Inc. Class A Common Stock,687949547,United States,Finance
AMTX,Aemetis Inc. (DE) Common Stock,114687857,United States,Industrials
AMWD,American Woodmark Corporation Common Stock,1280545369,United States,Basic Materials
AMWL,American Well Corporation Class A Common Stock,120795388,United States,Consumer Discretionary
AMZN,Amazon.com Inc. Common Stock,1.94E+12,United States,Consumer Discretionary
AN,AutoNation Inc. Common Stock,6295895967,United States,Consumer Discretionary
ANAB,AnaptysBio Inc. Common Stock,1074720226,United States,Health Care
ANDE,Andersons Inc. (The) Common Stock,1557270952,United States,Industrials
ANEB,Anebulo Pharmaceuticals Inc. Common Stock,45901794,United States,Health Care
ANET,Arista Networks Inc. Common Stock,1.08E+11,United States,Telecommunications
ANF,Abercrombie & Fitch Company Common Stock,6702030454,United States,Consumer Discretionary
ANGI,Angi Inc. Class A Common Stock,1276593293,United States,Consumer Discretionary
ANGO,AngioDynamics Inc. Common Stock,298852238,United States,Health Care
ANIK,Anika Therapeutics Inc. Common Stock,358820606,United States,Health Care
ANIP,ANI Pharmaceuticals Inc.,1142353348,United States,Health Care
ANIX,Anixa Biosciences Inc. Common Stock,99434630,United States,Health Care
ANNX,Annexon Inc. Common Stock,652941485,United States,Health Care
ANSC,Agriculture & Natural Solutions Acquisition Corporation Class A Ordinary Shares,0,United States,
ANSS,ANSYS Inc. Common Stock,27741764004,United States,Technology
ANTX,AN2 Therapeutics Inc. Common Stock,31036128,United States,Health Care
ANVS,Annovis Bio Inc. Common Stock,112003474,United States,Health Care
AOD,abrdn Total Dynamic Dividend Fund Common Shares of Beneficial Interest,0,United States,Finance
AOGO,Arogo Capital Acquisition Corp. Class A Common Stock,0,United States,Technology
AOMN,Angel Oak Mortgage REIT Inc. 9.500% Senior Notes due 2029,0,United States,Finance
AOMR,Angel Oak Mortgage REIT Inc. Common Stock,239292092,United States,Finance
AON,Aon plc Class A Ordinary Shares (Ireland),74905097113,United States,Finance
AORT,Artivion Inc. Common Stock,1019268003,United States,Health Care
AOS,A.O. Smith Corporation Common Stock,11443025690,United States,Consumer Discretionary
AOUT,American Outdoor Brands Inc. Common Stock ,110217899,United States,Consumer Discretionary
AP,Ampco-Pittsburgh Corporation Common Stock,35566892,United States,Industrials
